appname,appid,metadata_category,metadata_severity,metadata_comment,metadata_reference,service
Unknown threat-actor OAuth app,440f4886-2c3a-4269-a78c-088b3b521e02,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,6755c710-194d-464f-9365-7d89d773b443,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,6efe57d9-b00a-4091-b861-a16b7368ab11,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,6fae87b3-3a0f-4519-8b56-006ba50f62c4,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,89430f84-6c29-43f8-9b23-62871a314417,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,8c659c19-8a90-49b0-a9f1-15aeba3bb449,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,9a36eaa2-cf9d-4e50-ad3e-58c9b5c04255,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,a68c61ee-6185-4b36-bc59-1dca946d95cb,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,bc618bf4-c6d1-4653-8c4d-c6036001b226,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,c752e1ef-e475-43c0-9b97-9c9832dd3755,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Unknown threat-actor OAuth app,f73c6332-4618-4b9d-bcd4-c77726581acd,malicious,critical,High-fidelity malicious Microsoft Entra OAuth client ID associated with threat actor OAuth apps.,https://github.com/guardzcom/security-research-labs/blob/main/Threat-Intel/IOCs/OAuth-abuse/Microsoft-Intel-OAuth.md | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Users,21f81c9e-475d-4c26-9308-1de74a286f73,malicious,critical,OwnerTenantId=69168d16-9597-47a2-a4eb-a81900185529; OwnerTenantDomains=fpwd.com; netorgft8261298.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Мicгoѕоft. Сloud App Ѕесuгity,626b6813-13dc-45d7-abfe-a7fe09fd5276,malicious,critical,"OwnerTenantId=0c05c65c-d311-4821-aa22-46b8abec59d5; OwnerTenantDomains=generalimports.onmicrosoft.com; LastSeen=2019 | replyUrls=[   ""https://outpostportal.net"",   ""https://outpostportal.net/login"" ]; homepage=http://www.cloudappsecurity.com; appOwnerOrganizationId=0c05c65c-d311-4821-aa22-46b8abec59d5",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
ОneDгive for Business,443efa1c-8a0a-47a0-bd31-7c30fe32dee4,malicious,critical,OwnerTenantId=0c05c65c-d311-4821-aa22-46b8abec59d5; OwnerTenantDomains=generalimports.onmicrosoft.com; LastSeen=2019,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
ОпeDrive for Business,3280b1dc-4b64-4f90-a16a-b0804e6ec4ca,malicious,critical,"OwnerTenantId=a4afdac5-f28f-4161-87c4-b5f7625bc048; OwnerTenantDomains=epsilonservices.onmicrosoft.com; LastSeen=2019 | replyUrls=[   ""https://woolydogstore.com"",   ""https://woolydogstore.com/login"" ]; homepage=https://onedrive.live.com/about/en-us/business; appOwnerOrganizationId=a4afdac5-f28f-4161-87c4-b5f7625bc048",https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
